title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage,€219,€339,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"01-06-2023, 13:41:05",120,35
Comfort cottage,€229,€399,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"01-06-2023, 13:41:05",170,42
Comfort cottage,€239,€369,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,70 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"01-06-2023, 13:41:06",130,35
Beach Chilla,€1159,€1309,4 pers.,2 Slaapkamers,Van vr. 9 tot ma. 12 jun.,51 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"01-06-2023, 13:41:07",150,11
Premium cottage,659€,,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,51 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"01-06-2023, 13:41:07",0,0
Beach Chilla,€1206,€1339,6 pers.,3 Slaapkamers,Van vr. 1 tot ma. 4 sept.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"01-06-2023, 13:41:08",133,9
Rolstoelvriendelijk Premium cottage,€963,€1069,6 pers.,3 Slaapkamers,Van vr. 1 tot ma. 4 sept.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"01-06-2023, 13:41:08",106,9
Premium cottage,€639,€709,6 pers.,3 Slaapkamers,Van di. 29 tot do. 31 aug.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"01-06-2023, 13:41:09",70,9
Premium cottage,€339,€499,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,94 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"01-06-2023, 13:41:10",160,32
Comfort cottage,€289,€379,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,85 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"01-06-2023, 13:41:11",90,23
Premium cottage,€518,€719,6 pers.,3 Slaapkamers,Van vr. 1 tot ma. 4 sept.,95 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"01-06-2023, 13:41:11",201,27
Comfort cottage,€349,€489,4 pers.,2 Slaapkamers,Van do. 1 tot za. 3 jun.,57 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:12",140,28
Comfort cottage,€379,€549,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,80 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:13",170,30
VIP cottage,€459,€609,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,77 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:13",150,24
Comfort cottage,€489,€649,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,88 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:14",160,24
Premium cottage,€529,€709,8 pers.,4 Slaapkamers,Van ma. 26 tot wo. 28 jun.,88 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:15",180,25
Premium Kindercottage,€529,€1539,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot zo. 2 jul.,79 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:15",1010,65
VIP cottage,€539,€769,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,77 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:16",230,29
Premium cottage,€779,€979,12 pers.,6 Slaapkamers,Van ma. 26 tot wo. 28 jun.,160 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:16",200,20
VIP cottage,€809,€1149,10 pers.,5 Slaapkamers,Van di. 20 tot do. 22 jun.,160 m²,"Nederland, Zuid-Holland, Ouddorp",Port Zélande,"01-06-2023, 13:41:17",340,29
Comfort cottage Vernieuwd,€359,€479,4 pers.,2 Slaapkamers,Van di. 6 tot do. 8 jun.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:18",120,25
Comfort cottage Vernieuwd,€379,€509,6 pers.,3 Slaapkamers,Van ma. 5 tot wo. 7 jun.,59m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:18",130,25
Premium Eden cottage Vernieuwd,€419,€559,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,79m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:19",140,25
