title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium Kindercottage Vernieuwd,€509,€589,4 pers.,2 Slaapkamers,Van wo. 21 tot vr. 23 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"25-05-2023, 11:27:08",80,13
Premium cottage Vernieuwd,€429,€589,5 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"25-05-2023, 11:27:09",160,27
Premium cottage Vernieuwd,€429,€779,6 pers.,3 Slaapkamers,Van wo. 7 tot vr. 9 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"25-05-2023, 11:27:09",350,44
Comfort cottage,€279,€509,4 pers.,2 Slaapkamers,Van ma. 5 tot do. 8 jun.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"25-05-2023, 11:27:10",230,45
Premium cottage,€339,€579,4 pers.,2 Slaapkamers,Van ma. 5 tot do. 8 jun.,55 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"25-05-2023, 11:27:10",240,41
Premium cottage,€369,€479,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,70 m²,"Frankrijk, La Vienne, Poitiers",Le Bois aux Daims,"25-05-2023, 11:27:11",110,22
VIP cottage,€299,€489,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"25-05-2023, 11:27:12",190,38
Comfort cottage,€219,€319,4 pers.,2 Slaapkamers,Van ma. 12 tot wo. 14 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"25-05-2023, 11:27:12",100,31
Comfort cottage,€219,€339,5 pers.,3 Slaapkamers,Van ma. 19 tot wo. 21 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"25-05-2023, 11:27:13",120,35
Comfort cottage,€229,€399,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,65 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"25-05-2023, 11:27:13",170,42
Comfort cottage,€239,€369,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,70 m²,"Nederland, Limburg Nederland, America",Limburgse Peel,"25-05-2023, 11:27:14",130,35
Premium cottage,€379,€469,2 pers.,1 Slaapkamer,Van vr. 30 jun. tot ma. 3 jul.,51 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"25-05-2023, 11:27:15",90,19
VIP cottage,€489,€529,2 pers.,1 Slaapkamer,Van vr. 30 jun. tot ma. 3 jul.,54 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"25-05-2023, 11:27:15",40,7
Premium cottage,€439,€499,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,59 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"25-05-2023, 11:27:16",60,12
Premium cottage,€649,€1019,6 pers.,3 Slaapkamers,Van ma. 12 tot vr. 16 jun.,73 m²,"Duitsland, Saarland, Nohfelden",Park Bostalsee,"25-05-2023, 11:27:16",370,36
Comfort cottage,€499,€549,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,71 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"25-05-2023, 11:27:17",50,9
Premium cottage,€499,€689,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,71m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"25-05-2023, 11:27:18",190,27
Rolstoelvriendelijk Premium cottage,€499,€689,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,64 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"25-05-2023, 11:27:18",190,27
Premium Kindercottage,€969,€1179,4 pers.,2 Slaapkamers,Van ma. 19 tot vr. 23 jun.,71 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"25-05-2023, 11:27:19",210,17
Premium cottage,€509,€699,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,71 m²,"Duitsland, Nordrhein-Westfalen, Winterberg",Park Hochsauerland,"25-05-2023, 11:27:19",190,27
Premium cottage,659€,,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,51 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"25-05-2023, 11:27:20",0,0
Rolstoelvriendelijk Premium cottage,€1189,€1209,6 pers.,3 Slaapkamers,Van vr. 14 tot ma. 17 jul.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"25-05-2023, 11:27:20",20,1
Premium cottage,669€,,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,70 m²,"Nederland, Noord-Holland, Zandvoort",Park Zandvoort,"25-05-2023, 11:27:21",0,0
Premium cottage,€309,€349,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64 m²,"Frankrijk, Normandië, Verneuil sur Avre et d’Iton",Les Bois-Francs,"25-05-2023, 11:27:21",40,11
